-4.194147,1,1,0.000000,0.000000,
-4.156234,2,3,0.000001,0.000001,
-4.118320,2,5,0.000001,0.000002,
-4.080407,2,7,0.000001,0.000003,
-4.042493,2,9,0.000001,0.000004,
-4.004579,4,13,0.000002,0.000006,
-3.966666,4,17,0.000002,0.000008,
-3.928752,5,22,0.000002,0.000010,
-3.890839,2,24,0.000001,0.000011,
-3.852925,6,30,0.000003,0.000014,
-3.815012,6,36,0.000003,0.000017,
-3.777098,4,40,0.000002,0.000019,
-3.739185,10,50,0.000005,0.000023,
-3.701271,12,62,0.000006,0.000029,
-3.663358,12,74,0.000006,0.000034,
-3.625444,8,82,0.000004,0.000038,
-3.587531,17,99,0.000008,0.000046,
-3.549617,16,115,0.000007,0.000053,
-3.511703,26,141,0.000012,0.000065,
-3.473790,28,169,0.000013,0.000078,
-3.435876,39,208,0.000018,0.000096,
-3.397963,43,251,0.000020,0.000116,
-3.360049,51,302,0.000024,0.000140,
-3.322136,65,367,0.000030,0.000170,
-3.284222,86,453,0.000040,0.000210,
-3.246309,188,641,0.000087,0.000296,
-3.208395,366,1007,0.000169,0.000466,
-3.170482,264,1271,0.000122,0.000588,
-3.132568,401,1672,0.000185,0.000773,
-3.094655,325,1997,0.000150,0.000924,
-3.056741,348,2345,0.000161,0.001085,
-3.018828,403,2748,0.000186,0.001271,
-2.980914,422,3170,0.000195,0.001466,
-2.943000,648,3818,0.000300,0.001766,
-2.905087,840,4658,0.000389,0.002154,
-2.867173,918,5576,0.000425,0.002579,
-2.829260,766,6342,0.000354,0.002933,
-2.791346,966,7308,0.000447,0.003380,
-2.753433,1457,8765,0.000674,0.004054,
-2.715519,1421,10186,0.000657,0.004711,
-2.677606,1711,11897,0.000791,0.005502,
-2.639692,1905,13802,0.000881,0.006383,
-2.601779,2041,15843,0.000944,0.007327,
-2.563865,2632,18475,0.001217,0.008545,
-2.525952,2995,21470,0.001385,0.009930,
-2.488038,3080,24550,0.001425,0.011354,
-2.450124,4004,28554,0.001852,0.013206,
-2.412211,4202,32756,0.001943,0.015150,
-2.374297,4761,37517,0.002202,0.017352,
-2.336384,5698,43215,0.002635,0.019987,
-2.298470,6502,49717,0.003007,0.022994,
-2.260557,6892,56609,0.003188,0.026182,
-2.222643,8326,64935,0.003851,0.030032,
-2.184730,9152,74087,0.004233,0.034265,
-2.146816,10436,84523,0.004827,0.039092,
-2.108903,11415,95938,0.005279,0.044371,
-2.070989,13368,109306,0.006183,0.050554,
-2.033076,14632,123938,0.006767,0.057321,
-1.995162,16518,140456,0.007640,0.064961,
-1.957249,18357,158813,0.008490,0.073451,
-1.919335,20415,179228,0.009442,0.082893,
-1.881421,22990,202218,0.010633,0.093526,
-1.843508,25352,227570,0.011725,0.105251,
-1.805594,28407,255977,0.013138,0.118389,
-1.767681,31469,287446,0.014554,0.132944,
-1.729767,35919,323365,0.016613,0.149556,
-1.691854,38968,362333,0.018023,0.167579,
-1.653940,42327,404660,0.019576,0.187155,
-1.616027,46260,450920,0.021395,0.208551,
-1.578113,49761,500681,0.023014,0.231565,
-1.540200,52836,553517,0.024437,0.256002,
-1.502286,56840,610357,0.026289,0.282290,
-1.464373,60087,670444,0.027790,0.310081,
-1.426459,63095,733539,0.029181,0.339262,
-1.388546,65914,799453,0.030485,0.369747,
-1.350632,68364,867817,0.031618,0.401366,
-1.312718,71183,939000,0.032922,0.434288,
-1.274805,73798,1012798,0.034132,0.468420,
-1.236891,74561,1087359,0.034484,0.502904,
-1.198978,75398,1162757,0.034872,0.537776,
-1.161064,76687,1239444,0.035468,0.573243,
-1.123151,75536,1314980,0.034935,0.608179,
-1.085237,76685,1391665,0.035467,0.643646,
-1.047324,75233,1466898,0.034795,0.678441,
-1.009410,74926,1541824,0.034653,0.713094,
-0.971497,71394,1613218,0.033020,0.746114,
-0.933583,73696,1686914,0.034084,0.780199,
-0.895670,64991,1751905,0.030058,0.810257,
-0.857756,66451,1818356,0.030734,0.840990,
-0.819842,70427,1888783,0.032573,0.873563,
-0.781929,51027,1939810,0.023600,0.897163,
-0.744015,49745,1989555,0.023007,0.920170,
-0.706102,68981,2058536,0.031904,0.952074,
-0.668188,55823,2114359,0.025818,0.977892,
-0.630275,22033,2136392,0.010190,0.988082,
-0.592361,11644,2148036,0.005385,0.993468,
-0.554448,6456,2154492,0.002986,0.996454,
-0.516534,3748,2158240,0.001733,0.998187,
-0.478621,2493,2160733,0.001153,0.999340,
-0.440707,1427,2162160,0.000660,1.000000,
